Date,Open,High,Low,Close,Adj Close,Volume,Company
2023-04-03,2755.0,2781.0,2705.89990234375,2777.39990234375,2754.210693359375,57371.0,ASIANPAINT
2023-04-05,2763.0,2811.64990234375,2752.199951171875,2808.64990234375,2785.19970703125,52442.0,ASIANPAINT
2023-04-06,2808.0,2825.0,2775.5,2809.35009765625,2785.89404296875,32492.0,ASIANPAINT
2023-04-10,2814.949951171875,2814.949951171875,2755.35009765625,2776.449951171875,2753.268798828125,37351.0,ASIANPAINT
2023-04-11,2790.0,2790.0,2750.199951171875,2753.64990234375,2730.658935546875,104118.0,ASIANPAINT
2023-04-12,2754.0,2805.550048828125,2753.0,2786.85009765625,2763.58203125,29740.0,ASIANPAINT
2023-04-13,2781.050048828125,2812.60009765625,2781.050048828125,2808.300048828125,2784.852783203125,42150.0,ASIANPAINT
2023-04-17,2812.0,2845.0,2807.300048828125,2842.5,2818.76708984375,15790.0,ASIANPAINT
2023-04-18,2842.5,2860.0,2831.5,2857.60009765625,2833.7412109375,43336.0,ASIANPAINT
2023-04-19,2854.699951171875,2855.0,2801.25,2809.0,2785.546875,59362.0,ASIANPAINT
2023-04-20,2815.0,2851.14990234375,2814.35009765625,2843.85009765625,2820.10595703125,41941.0,ASIANPAINT
2023-04-21,2844.5,2886.0,2844.5,2880.050048828125,2856.003662109375,56611.0,ASIANPAINT
2023-04-24,2880.0,2896.0,2854.0,2890.10009765625,2865.969970703125,43746.0,ASIANPAINT
2023-04-25,2896.0,2901.64990234375,2864.60009765625,2897.60009765625,2873.4072265625,53531.0,ASIANPAINT
2023-04-26,2878.699951171875,2916.0,2878.699951171875,2909.25,2884.959716796875,19865.0,ASIANPAINT
2023-04-27,2912.0,2932.60009765625,2894.0,2898.449951171875,2874.25,38105.0,ASIANPAINT
2023-04-28,2914.89990234375,2914.89990234375,2847.699951171875,2901.300048828125,2877.076416015625,44484.0,ASIANPAINT
2023-05-02,2902.050048828125,2934.449951171875,2892.699951171875,2899.0,2874.79541015625,18337.0,ASIANPAINT
